tower,what_type_of_work_is_here,income_confidence,income_assessment,land_use,comment,area_size_sqkm,cdr_users,mfs_users,user_ratio,cdr_density,mfs_density,building_count,building_density,residential,income_cleaned,income_adjusted,voronoi
2067,Commercial,High,Very Wealthy,Formal Residential,,9.6521560419,36,21,1.7142857143,0.2681154456,0.4596264782,10,1.0360379543,True,wealthy,wealthy,0103000020E6100000010000000B000000F6781E5284A64340B46DCFFB2B401BC03060AA9B9AA54340D23551412D3C1BC0604716A68CA5434095559439B1391BC0778C918524A643400930020056321BC08ED2BE5139A843404B14641883211BC0075B8A69C3AB434006AE65B50B161BC0AA4ACC4A1CAC43405FFCF5FA93151BC07A857201E3AB4340E54A57071B191BC0782EA5133EAA434014B24305022B1BC09D84B55B4FA84340637C353E303A1BC0F6781E5284A64340B46DCFFB2B401BC0
1557,Unskilled manual labour,High,Wealthy,Formal Residential,,6.8772004095,647,462,1.4004329004,0.0106293669,0.0148857152,1945,282.818572121,True,wealthy,wealthy,0103000020E610000001000000070000003E703A77AC974340910CC66E79951AC09E7370AE3B9643404A98A0E49D911AC0D15358A51F9643401986078EE38F1AC03A5923675196434065C42BEA4D821AC04A1ED15E919943406FB4FFA7176D1AC0E667810D94984340E1218E252A931AC03E703A77AC974340910CC66E79951AC0
1925,Commercial,High,Poor,Industrial / Formal Residential,,0.2531170627,503,313,1.607028754,0.0005032148,0.0008086807,548,2165.0061603339,True,poor,poor,0103000020E61000000100000006000000841047CB85A243408F5F2BF0A24C1BC06504BCCCFEA143401DB0E946204C1BC08444356F08A2434061A0648028471BC0E7C2C9592AA24340B70BF62EDA451BC0167406F7A1A24340E7E63588BD4A1BC0841047CB85A243408F5F2BF0A24C1BC0
1839,Skilled manual labour,High,Poor,Industrial / Informal Residential,,0.5951055224,415,290,1.4310344828,0.0014339892,0.002052088,1123,1887.0602904262,True,poor,poor,0103000020E61000000100000006000000ED7AA7C433A04340418CDAFAEC5F1BC086B19C4406A043403A2C86216E5F1BC06A365B88D59F434081B2BCCB0B591BC04F3629C66EA04340740F95079A551BC016E8629CF5A04340B4287C827F591BC0ED7AA7C433A04340418CDAFAEC5F1BC0
1511,Unskilled manual labour,High,Poor,Peri-Urban,Miles out from the city,42.6056166277,224,155,1.4451612903,0.1902036457,0.274874946,797,18.7064538219,,poor,poor,0103000020E61000000100000009000000C0A96A83AC964340ABF9F50319401CC09555DE37598F4340BE7F196367FC1BC0C0B2253F688F4340A51DDE82FEF81BC0E1BFAD0EEB8F4340D0EA3C1C75F11BC01E3B5645179243405303B37596ED1BC01AF9C466209543407AC3DAD28AF31BC00226E8E6F1974340D29FF234CD051CC0B204F9F5259A4340425C9C9F48331CC0C0A96A83AC964340ABF9F50319401CC0
1868,Unskilled manual labour,High,Poor,,Next to river - potentially very poor,1.3842950406,1085,759,1.4295125165,0.001275848,0.0018238406,4209,3040.5367905959,,poor,poor,0103000020E6100000010000000800000036F6249E44A14340EC1E09E0369B1BC01EF8C00319A04340DA02C378999A1BC048CDFCA5D09F434068E19F3F5A991BC0EA1DDD8102A0434057D4BBFC47921BC0B9B2EE8D14A0434010FD1614F2911BC0962837EE4EA143408BB4309B25911BC073E492EBBAA143404B77ABEE8F941BC036F6249E44A14340EC1E09E0369B1BC0
1762,Unskilled manual labour,High,Poor,Industrial / Formal Residential / Commercial,,0.5004861655,622,470,1.3234042553,0.0008046401,0.0010648642,981,1960.0941397686,True,poor,poor,0103000020E61000000100000007000000DC2B9B78EB9D4340B8ABB6A944521BC0C825891BA79D4340D67C9372214F1BC093E8E5C0F29D4340E87669C0C0491BC030D51653F59D434083607E7FBB491BC043AE2A5CA29E43406B3CEBA70A4D1BC011325B407F9E4340968A062663511BC0DC2B9B78EB9D4340B8ABB6A944521BC0
1712,Hospitality services,High,Wealthy,Formal Residential,,48.1938320923,91,57,1.5964912281,0.5296025505,0.8455058262,262,5.4363803131,True,wealthy,wealthy,0103000020E610000001000000070000001A3A42D8429C43406540E51F73C31AC01D8EC76D6E9B4340E06B71899CBA1AC0962AEF23F69C43409C5B0B0919AD1AC0F70BCE0500A643408401C77C797E1AC06D439A1566AE434005A88FAAC65D1AC0003B5F2B81A443407D374C6E1DB51AC01A3A42D8429C43406540E51F73C31AC0
1859,Commercial,High,Wealthy,Formal Residential,,1.4488703443,200,121,1.652892562,0.0072443517,0.0119741351,493,340.2650913029,True,wealthy,wealthy,0103000020E6100000010000000800000032EC04B2B9A0434020C3ACB6F3101BC0A49F8B1570A043405ED28094F40E1BC0F4F3C901C6A043407F37D47BE8001BC06A51EFF709A143409A94383339FD1AC00670FFFEBEA14340597004ED6A051BC07ABC5F52ABA1434020D45A48630A1BC090200ACE08A14340902A62E276101BC032EC04B2B9A0434020C3ACB6F3101BC0
1627,Unskilled manual labour,High,Average,Informal Residential,,1.1837113227,723,517,1.3984526112,0.0016372217,0.002289577,1584,1338.1641027011,True,average,average,0103000020E6100000010000000700000030ADD2D6AE9A4340C10281E455B81AC0632C13A590994340A2B2AAA05CB41AC0A4FF0C6D5E9943404F10A13C90AE1AC0A69AAEAFBF994340D5B24F11BBAA1AC032FDAA820D9A43400D81C61B33AA1AC08DB1596EA89A43402633B8F2C9AD1AC030ADD2D6AE9A4340C10281E455B81AC0
1732,Unskilled manual labour,High,Average,Formal Residential,,0.7192863029,1855,1363,1.3609684519,0.0003877554,0.0005277229,3826,5319.1614859668,True,average,average,0103000020E6100000010000000800000022C69D88F29C43409A54EDF7D37D1BC09A4B8FDD879C4340D3930697107B1BC095962BE6E09C43402FD75500D5751BC0AB0ECEC1919D4340E42DF6D0A5741BC0D51C05D6DE9D4340F1F7914FA7751BC0BF78B9D4E59D434010942E1335761BC017703949A09D43408C9595FB127B1BC022C69D88F29C43409A54EDF7D37D1BC0
2082,Unskilled manual labour,High,Average,Industrial / Informal Residential,,3.3151482402,756,537,1.4078212291,0.0043851167,0.0061734604,1712,516.4173291749,True,average,average,0103000020E6100000010000000800000081AFD5BA5CA9434047B69926936E1BC05CB422C2F4A643408DAD38E745661BC08BEE036CE1A64340EAD18F36A4631BC02429F53AE5A6434008C3C448C5621BC0042CB79E32A94340A083118EF2581BC09BA17B0D93A94340BCB9A12ADC591BC0DECAC4AB8FA94340A7716311686C1BC081AFD5BA5CA9434047B69926936E1BC0
1420,Unskilled manual labour,High,Poor,Informal Peri-Urban ,,25.9340697685,1238,875,1.4148571429,0.0209483601,0.0296389369,2885,111.2436276201,,poor,poor,0103000020E61000000100000007000000C0B2253F688F4340A51DDE82FEF81BC067993EB5E585434056E5ACEE55E31BC01542CF1C93874340F87B987174C41BC07A649ECCB1884340F5DDFFAAF7C21BC0E6D3C491588F4340170CF7C007E31BC0E1BFAD0EEB8F4340D0EA3C1C75F11BC0C0B2253F688F4340A51DDE82FEF81BC0
1476,Unskilled manual labour,Medium,Poor / Average,Informal Peri-Urban ,,6.6866573479,1007,731,1.3775649795,0.0066401761,0.0091472741,3263,487.9867219471,,poor,poor,0103000020E61000000100000008000000A60DA56F119143409FC835F9345A1BC0B9CE2F7CCF8E4340F014A26F71541BC001995376E48E4340948A92DB7F461BC0480CB12B03904340BE54B964723A1BC053BF7A8B18914340D51E6A64D23C1BC0C89E95301192434032BD7347874D1BC0DC62452C72914340E2A3E3D3A6571BC0A60DA56F119143409FC835F9345A1BC0
1462,Unskilled manual labour,Medium,Poor / Average,Informal Peri-Urban ,,20.8920305274,600,412,1.4563106796,0.0348200509,0.050708812,2413,115.4985867379,,poor,poor,0103000020E61000000100000009000000B17A4454D58E434056784EDF0F801BC0B0F66D15C48B434072FC7D3EAF7D1BC0AC65FF4BE38943409621A515EA711BC03463540D618C4340094B83D23B5D1BC0B9CE2F7CCF8E4340F014A26F71541BC0A60DA56F119143409FC835F9345A1BC03AD32681AB914340D177ADC9486C1BC08D9CA5BE899043407018E81D18781BC0B17A4454D58E434056784EDF0F801BC0
1727,Unskilled manual labour,Medium,Poor / Average,Informal Residential,,0.6886558374,935,632,1.4794303797,0.0007365303,0.0010896453,672,975.8139893633,True,poor,poor,0103000020E61000000100000006000000586172E3609D43408B2967BD57F01AC08EF2D92BAB9C434012DB7F9449F01AC0AFC1C0A2639C4340012BF8E6F5EC1AC0B9CE6D3B629D4340D0E10EC518E61AC09F258AD69A9D43408B67AA2812E61AC0586172E3609D43408B2967BD57F01AC0
1692,Commercial,High,Poor,Informal Residential,,0.8135077909,1570,1159,1.3546160483,0.0005181578,0.0007019049,3196,3928.665509759,True,poor,poor,0103000020E6100000010000000800000078112ECF699C4340FB78D31338621BC024866F97C59B4340E6EE2276EE5E1BC0A3E13E03A69B4340682AF864225A1BC062A2B2E6039C43406E259F78B0571BC002E51950579C4340E7F73375A8571BC0AF9F0901D69C434007F2B93E215B1BC053E9DDFAB89C43404DFE01EAA0601BC078112ECF699C4340FB78D31338621BC0
2064,Office services,High,Very Wealthy,Administrative,,0.1878831958,91,63,1.4444444444,0.0020646505,0.0029822729,72,383.2168155694,,wealthy,wealthy,0103000020E61000000100000008000000DFDE06340BA643409D25AC00CD421BC0D847019D60A54340D8B9CF82B7421BC0DBFBD59959A5434057A9F65C9E421BC0BCBF959C3CA54340B6B9865A28411BC03499628141A54340BB08B84D6D401BC0130717D09BA5434078DE52FF5C3F1BC0FAEA57E81FA6434068A1169DE2411BC0DFDE06340BA643409D25AC00CD421BC0
2021,Skilled manual labour,High,Very Wealthy,Formal Residential,,8.4445905119,55,32,1.71875,0.1535380093,0.2638934535,281,33.2757402036,True,wealthy,wealthy,0103000020E61000000100000009000000A284688E92A64340160C124C56241BC0DBAF45ACBEA34340F0EB1BE8E41E1BC0CF8E4DE2B8A343401117EA0CB71E1BC0386B4F0BD5A34340D7DBEACAC6171BC0702D138D13A64340422BFFF5CB121BC090AB403EDAA743401F665D3DCF111BC0075B8A69C3AB434006AE65B50B161BC08ED2BE5139A843404B14641883211BC0A284688E92A64340160C124C56241BC0
2019,Commercial,High,Very Wealthy,Formal Residential,,0.0813055327,142,68,2.0882352941,0.0005725742,0.0011956696,136,1672.7028956476,True,wealthy,wealthy,0103000020E61000000100000007000000E4879E77F1A34340491ECD13EF481BC042DA28C6D3A3434012B75452E9471BC043D55762D3A3434074E2EBF74C471BC04F5016743AA44340D3BC4AA764461BC0228E214255A4434038F10CC883481BC0E3B7DA8655A44340742595379D481BC0E4879E77F1A34340491ECD13EF481BC0
1473,Unskilled manual labour,High,Average,Formal Peri-Urban,,216.9140531274,457,304,1.5032894737,0.4746478187,0.7135330695,1856,8.5563843063,,average,average,0103000020E6100000010000000700000033008810D99043402BE27B7378691AC05A32371F26904340A52E789973681AC0A1C139F6DD8B4340242E21BB83461AC0E895FF94898D434023C8413947C419C022CE0CBB1F90434005D898164C9519C02C3C5B9508A043402CBBADF7A6C719C033008810D99043402BE27B7378691AC0
1631,Commercial,High,Average,Industrial / Formal Residential,,0.6459711966,624,478,1.3054393305,0.0010352103,0.0013514042,802,1241.5414251006,True,average,average,0103000020E61000000100000007000000E85D693C049A43402FB0D90A2F631BC0700D4795F1994340C9D152C6EF611BC06BC7A7CD0C9A4340C13C794F3B581BC0FB0C8B39119A4340202E76F824581BC0D48C2961D99A4340714A81F0485B1BC0ACD05783AE9A43407C5938CBB8611BC0E85D693C049A43402FB0D90A2F631BC0
1612,Commercial,High,Average,Informal Residential,,1.7701807942,830,591,1.4043993232,0.0021327479,0.0029952298,1072,605.587860577,True,average,average,0103000020E61000000100000007000000226D7021579A4340FF169ED674C11AC078C04506D298434061BA8E1F1EC11AC0FC4EDCAEA2984340CC3E4A95F2BF1AC0632C13A590994340A2B2AAA05CB41AC030ADD2D6AE9A4340C10281E455B81AC0584F7659F79A4340BE5A88F112BB1AC0226D7021579A4340FF169ED674C11AC0
1941,Unskilled manual labour,High,Very Poor / Poor,Informal Residential,,0.7715735111,1064,781,1.3623559539,0.0007251631,0.0009879302,1713,2220.1384254851,True,poor,poor,0103000020E610000001000000080000002181D06FE0A2434093F47FE204A01BC09A4C0CBF40A243404440646CD69A1BC0A2CF6D9F26A24340FBC2044EAD961BC0820A8FE70FA34340972D396A76961BC0E24010996FA34340A9EE712A439A1BC0E47E2A1F81A343407605DCE22B9C1BC0A6F9AC24E6A24340E5153A7D00A01BC02181D06FE0A2434093F47FE204A01BC0
1445,Unskilled manual labour,High,Poor,Peri-Urban,Miles out from the city,19.348663264,1356,960,1.4125,0.0142689257,0.0201548576,2653,137.1154153549,,poor,poor,0103000020E61000000100000006000000E6D3C491588F4340170CF7C007E31BC07A649ECCB1884340F5DDFFAAF7C21BC04CB525A8ED8C4340BC51D447F5AD1BC0838C490A9E8D434051030F67F7AE1BC08E1388364590434006AE76E7E5C11BC0E6D3C491588F4340170CF7C007E31BC0
2053,Office services,High,Very Wealthy,Administrative,,0.0799815569,100,56,1.7857142857,0.0007998156,0.0014282421,33,412.5951191214,,wealthy,wealthy,0103000020E61000000100000008000000C8E3A21D0CA5434090DE330FEE411BC0EAEAF26100A54340D1F1FAB4DD411BC0FBA0BE4AD8A443401AAEB87F10401BC054B5C909D6A4434029D270CEA63F1BC0302A235218A543406F8109488F3E1BC03499628141A54340BB08B84D6D401BC0BCBF959C3CA54340B6B9865A28411BC0C8E3A21D0CA5434090DE330FEE411BC0
1947,Hospitality services,High,Very Wealthy,Entertainment / Formal Residential,,2.7877068269,181,100,1.81,0.0154016952,0.0278770683,651,233.5252737924,True,wealthy,wealthy,0103000020E610000001000000090000009B8C9A1BD1A243408769B7FD29081BC00670FFFEBEA14340597004ED6A051BC06A51EFF709A143409A94383339FD1AC01833C523DFA04340197A5BAB6EF61AC0182AD67CE3A0434088BF550067F31AC060415B9170A34340008DD2D1F3FD1AC00B6B59C092A34340ECA193B05B011BC0679D6E3DEBA243403508229EC4071BC09B8C9A1BD1A243408769B7FD29081BC0
1848,Commercial,High,Wealthy,Commercial / Formal Residential,,0.3728426387,525,378,1.3888888889,0.0007101765,0.0009863562,1191,3194.3771347865,True,wealthy,wealthy,0103000020E61000000100000005000000EE5D86EE6DA0434028511F98DF541BC0A0BAF92128A043403D194981B9511BC0378FAB5184A043402576A0BE264C1BC049D23CA514A143401BF4176D02511BC0EE5D86EE6DA0434028511F98DF541BC0
1805,Commercial,Medium,Average / Wealthy,Industrial / Formal Residential,,0.3582626361,404,294,1.3741496599,0.0008867887,0.0012185804,497,1387.2504412577,True,wealthy,wealthy,0103000020E610000001000000050000004DCB633B219F434065AC474F631F1BC09ABB1524029F4340DE01A550C9191BC06BAB16C3519F43406F0AD0AA22161BC0CBA63058D79F4340F411515CA9191BC04DCB633B219F434065AC474F631F1BC0
1880,Commercial,Medium,Wealthy / Average,Formal Residential,,0.3949856458,723,541,1.3364140481,0.0005463149,0.0007301029,687,1739.3037119876,True,wealthy,wealthy,0103000020E610000001000000070000009CC9620232A143407BD8F59774781BC055A2EF13CCA04340BE32EBA45F751BC0845723D0D0A0434096663AA788731BC0581EE0C13FA14340A5189805F3701BC03E0D5987A4A1434073F68990BC711BC0E100C2138CA14340EF087574AE761BC09CC9620232A143407BD8F59774781BC0
1642,Unskilled manual labour,Medium,Wealthy / Average,Education / Informal Residential / Industrial,,0.3677803843,649,458,1.4170305677,0.0005666878,0.0008030139,960,2610.2534038255,True,wealthy,wealthy,0103000020E610000001000000060000006E9A28B1609A43406D3738B48D3A1BC0A0F565354B9A43408F10960D68351BC05DE6AAF5E39A4340FA2384A4A5341BC086A57C560B9B4340D6FDC6CC41351BC0731323F51A9B43406891E686113A1BC06E9A28B1609A43406D3738B48D3A1BC0
2030,Commercial,High,Wealthy,Industrial / Informal Residential,,0.5908969302,74,56,1.3214285714,0.0079850937,0.0105517309,605,1023.8672247628,True,wealthy,wealthy,0103000020E610000001000000080000005225AD246DA443405FF308C4345B1BC0DC430AE716A44340F58561CF96591BC0528E4172FAA343403B170C39B2571BC047ACC5A700A44340C2FA3F87F9521BC0DA4FC24214A4434022DE5AAF5C521BC0041C00C9D2A44340656CF3E5D3511BC0084CC05DC6A4434014D91535E8581BC05225AD246DA443405FF308C4345B1BC0
